Location Name,Keywords,Rating
Bãi Dài Cam Ranh,"biển, vui chơi, chụp ảnh",0.96
Tháp Bà Ponagar,"tham quan, chụp ảnh, di tích, văn hóa",0.9
Thành cổ Diên Khánh,"tham quan, di tích, lịch sử, chụp ảnh, văn hóa",0.9
VinWonders Nha Trang,"vui chơi, chụp ảnh",0.9199999999999999
Suối Ba Hồ,"chụp ảnh, vui chơi",0.86
Đảo Phú Quốc ,"biển, chụp ảnh, vui chơi",0.96
Biển Mũi Nai,"biển, vui chơi, chụp ảnh",0.9400000000000001
Chùa Láng Cát,"tham quan, văn hóa",0.8800000000000001
Vườn quốc gia U Minh Thượng,"tham quan, chụp ảnh",0.9199999999999999
Mộ chị Sứ,"di tích, lịch sử",0.8800000000000001
Nhà Thờ Gỗ Kon Tum,"tham quan, chụp ảnh, văn hóa",0.8800000000000001
Cầu Treo Kon Klor,"chụp ảnh, tham quan",0.9199999999999999
Vườn Quốc Gia Chư Mom Ray,"tham quan, chụp ảnh",0.9
Đỉnh Ngọc Linh,chụp ảnh,0.8800000000000001
Thác Đắk Tô,"tham quan, chụp ảnh",0.86
Đèo Ô Quy Hồ,"tham quan, chụp ảnh",0.9
Đỉnh Pu Ta Leng,"chụp ảnh, khám phá",0.9199999999999999
Cánh đồng Mường Than,"chụp ảnh, tham quan",0.9400000000000001
Hồ Thủy Điện Lai Châu,"tham quan, chụp ảnh",0.9
Chợ phiên Sìn Hồ,"tham quan, văn hóa",0.86
Hồ Xuân Hương,"chụp ảnh, tham quan, vui chơi",0.9400000000000001
Thiền Viện Trúc Lâm,"tham quan, văn hóa",0.9199999999999999
Chợ Đêm Đà Lạt,"tham quan, văn hóa",0.96
Dinh Bảo Đại,"di tích, lịch sử, văn hóa, tham quan, chụp ảnh",0.9
Thác Voi,"tham quan, chụp ảnh",0.9
Động Tam Thanh,"tham quan, chụp ảnh",0.8400000000000001
Chợ Đông Kinh,"tham quan, văn hóa",0.9
Cửa khẩu Hữu Nghị,"tham quan, văn hóa, chụp ảnh",0.9400000000000001
Đèo Bông Lau,"tham quan, chụp ảnh",0.8400000000000001
Chùa Tiên ,"tham quan, văn hóa",0.86
Đỉnh Núi Fansipan,"tham quan, chụp ảnh",0.96
Cổng Trời Ô Quy Hồ,"tham quan, chụp ảnh",0.9
Chợ phiên Bắc Hà,tham quan,0.86
Thác Tình Yêu,"tham quan, chụp ảnh",0.9
Đền Thượng,"tham quan, chụp ảnh, lịch sử",0.86
Làng nổi Tân Lập,"tham quan, chụp ảnh",0.8800000000000001
Nhà cổ Trăm Cột,"tham quan, chụp ảnh, văn hóa, di tích",0.9
Chùa Tôn Thạnh,"tham quan, văn hóa",0.9199999999999999
Sông Vàm Cỏ ,"tham quan, chụp ảnh",0.8400000000000001
Chợ đêm Tân An,tham quan,0.9400000000000001
Nhà thờ Phú Nhai,"tham quan, chụp ảnh",0.9
Đền Trần,"tham quan, chụp ảnh, lịch sử",0.86
Vườn quốc gia Xuân Thủy,"tham quan, chụp ảnh",0.9199999999999999
Chợ Viềng,tham quan,0.9199999999999999
Hồ Vị Xuyên,"tham quan, chụp ảnh",0.9
Làng Sen,"lịch sử, tham quan, di tích, văn hóa",0.9400000000000001
Bãi biển Cửa Lò,"biển, vui chơi, chụp ảnh",0.9199999999999999
Khu di tích Truông Bồn,"lịch sử, tham quan, di tích, văn hóa",0.9
Đồi chè Thanh Chương,"tham quan, chụp ảnh",0.9
Hang Thẩm Ồm,chụp ảnh,0.86
Tràng An,"tham quan, chụp ảnh, văn hóa, di tích",0.9199999999999999
Tam Cốc,"tham quan, chụp ảnh, văn hóa, di tích",0.9400000000000001
Cố đô Hoa Lư,"lịch sử, tham quan, di tích, văn hóa",0.9
Vườn quốc gia Cúc Phương,"tham quan, chụp ảnh",0.96
Hồ Đồng Chương,"chụp ảnh, tham quan, vui chơi",0.86
Vịnh Vĩnh Hy,"tham quan, chụp ảnh, vui chơi",0.9199999999999999
Vườn quốc gia Núi Chúa,"tham quan, chụp ảnh",0.9400000000000001
Tháp Po Klong Garai,"tham quan, chụp ảnh, di tích",0.9
Vườn nho Ninh Thuận,"tham quan, chụp ảnh",0.8400000000000001
Hồ Ba Bể,"chụp ảnh, tham quan, vui chơi",0.9
Đền Hùng,"tham quan, chụp ảnh, lịch sử",0.9400000000000001
Làng cổ Hùng Lô,"tham quan, lịch sử, chụp ảnh",0.9
Đảo Ngọc Xanh,"tham quan, chụp ảnh, vui chơi",0.9400000000000001
Vườn quốc gia Xuân Sơn,"tham quan, chụp ảnh",0.9199999999999999
Suối nước nóng Thanh Thủy,"chụp ảnh, vui chơi",0.9
Gành Đá Đĩa,"biển, vui chơi, chụp ảnh, tham quan",0.9400000000000001
Hòn Yến,"tham quan, chụp ảnh, vui chơi",0.9199999999999999
Hải đăng Đại Lãnh,"biển, tham quan, chụp ảnh",0.9
Suối nước nóng Triêm Đức,"tham quan, chụp ảnh",0.9199999999999999
Tháp Nhạn,"tham quan, chụp ảnh, di tích",0.8800000000000001
Động Phong Nha,"tham quan, chụp ảnh",0.96
Bãi Đá Nhảy,"biển, tham quan, chụp ảnh",0.8800000000000001
Đền Thánh Mẫu Liễu Hạnh,"tham quan, chụp ảnh, lịch sử",0.86
Nhà lưu niệm Đại tướng Võ Nguyên Giáp,"lịch sử, tham quan, di tích, văn hóa",0.9
Sông Chày ,"tham quan, chụp ảnh, khám phá",0.8800000000000001
Bãi biển An Bàng,"biển, yên bình",0.8
Đỉnh Quế,"thiên nhiên, yên bình",0.8
Núi Thiên Ấn,lịch sử,0.8
Bãi biển Mỹ Khê,biển,0.9
Làng chài Cửa Vạn,văn hóa,0.9199999999999999
Động Thiên Cung,lịch sử,0.8800000000000001
Nghĩa trang Liệt sĩ Quốc gia Trường Sơn,lịch sử,0.96
Hồ Dầu Tiếng,thiên nhiên,0.8
Bãi biển Cồn Đen,biển,0.8
Hồ Núi Cốc,tham quan,0.9
Chùa Linh Thứu,lịch sử,0.8
Dinh Đọc Lập,di tích,1.0
Bảo tàng lịch sử Việt Nam,lịch sử,0.9
Địa đạo Củ Chi,"di tích, lịch sử",0.9
Buôn Đôn,"du lịch, thiên nhiên",0.8848920863309353
Hồ Lắk,"lịch sử, văn hóa, khám phá",0.8848920863309353
Bảo tàng cà phê Thế giới,"thư giãn, yên bình",0.8848920863309353
Công viên địa chất Đắk Nông,"lịch sử, văn hóa",0.8848920863309353
Thác Dray Sap,khám phá,0.8848920863309353
Hang động Chư Bluk,"thiên nhiên, du lịch",0.8848920863309353
Khu bảo tồn thiên nhiên Nâm Nung,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Đồi A1,"du lịch, thiên nhiên",0.8848920863309353
Hầm De Castries,"lịch sử, văn hóa, khám phá",0.8848920863309353
Cánh đồng Mường Thanh,"thư giãn, yên bình",0.8848920863309353
Vườn quốc gia Cát Tiên,"lịch sử, văn hóa",0.8848920863309353
Khu du lịch Bửu Long,khám phá,0.8848920863309353
Hồ Trị An,"thiên nhiên, du lịch",0.8848920863309353
Thác Giang Điền,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Vườn quốc gia Tràm Chim,"du lịch, thiên nhiên",0.8848920863309353
Làng hoa Sa Đéc,"lịch sử, văn hóa, khám phá",0.8848920863309353
Lăng cụ Nguyễn Sinh Sắc,"thư giãn, yên bình",0.8848920863309353
Biển Hồ,"lịch sử, văn hóa",0.8848920863309353
Thác Phú Cường,khám phá,0.8848920863309353
Chùa Minh Thành,"thiên nhiên, du lịch",0.8848920863309353
Đồi chè Bàu Cạn,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Cột cờ Lũng Cú,"du lịch, thiên nhiên",0.8848920863309353
Đèo Mã Pí Lèng,"lịch sử, văn hóa, khám phá",0.8848920863309353
Hẻm Tu Sản,"thư giãn, yên bình",0.8848920863309353
Chùa Tam Chúc,"lịch sử, văn hóa",0.8848920863309353
Đền Trần Thương,khám phá,0.8848920863309353
Hang Luồn,"thiên nhiên, du lịch",0.8848920863309353
Làng Vũ Đại,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Lăng Chủ tịch Hồ Chí Minh,"du lịch, thiên nhiên",0.8848920863309353
Hồ Gươm,"lịch sử, văn hóa, khám phá",0.8848920863309353
Hoàng thành Thăng Long,"thư giãn, yên bình",0.8848920863309353
Ngã ba Đồng Lộc,"lịch sử, văn hóa",0.8848920863309353
Chùa Hương Tích,khám phá,0.8848920863309353
Biển Thiên Cầm,"thiên nhiên, du lịch",0.8848920863309353
Đèo Ngang,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Đảo Cò Chi Lăng Nam,"du lịch, thiên nhiên",0.8848920863309353
Chùa Côn Sơn,"lịch sử, văn hóa, khám phá",0.8848920863309353
Đền Kiếp Bạc,"thư giãn, yên bình",0.8848920863309353
Đồ Sơn,"lịch sử, văn hóa",0.8848920863309353
Cát Bà,khám phá,0.8848920863309353
Bến Nghiêng - Bến K15,"thiên nhiên, du lịch",0.8848920863309353
Cầu Hoàng Văn Thụ,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Khu du lịch Lung Ngọc Hoàng,"du lịch, thiên nhiên",0.8848920863309353
Chợ nổi Ngã Bảy,"lịch sử, văn hóa, khám phá",0.8848920863309353
Vườn cò Tân Long,"thư giãn, yên bình",0.8848920863309353
Thung Nai,"lịch sử, văn hóa",0.8848920863309353
Mai Châu,khám phá,0.8848920863309353
Động Đá Bạc,"thiên nhiên, du lịch",0.8848920863309353
Đền Thác Bờ,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Phố Hiến,"du lịch, thiên nhiên",0.8848920863309353
Chùa Chuông,"lịch sử, văn hóa, khám phá",0.8848920863309353
Đền Phù Ủng,"thư giãn, yên bình",0.8848920863309353
